tracking_id,datetime,windmill_generated_power(kW/h)
WM_19817,4/17/2019 8:53,2.98518987
WM_18723,3/30/2019 7:43,2.738490818
WM_34552,8/10/2019 11:33,3.698358624
WM_28570,6/26/2019 3:53,7.3855049
WM_36934,8/27/2019 16:43,3.72559485
WM_46,10/29/2018 4:43,7.483404525
WM_5545,12/16/2018 15:13,4.29385983
WM_6959,12/27/2018 1:53,14.29058465
WM_9565,1/14/2019 13:43,8.096236468
WM_33379,8/2/2019 3:33,2.421674845
WM_24358,5/24/2019 4:23,6.061649844
WM_38536,9/10/2019 0:23,7.890188984
WM_30740,7/11/2019 20:33,7.006747116
WM_32731,7/28/2019 12:23,5.783305095
WM_14062,2/17/2019 14:03,8.23756947
WM_15294,2/27/2019 3:03,10.50178433
WM_36014,8/21/2019 6:03,5.973405121
WM_5050,12/11/2018 1:23,11.68040458
WM_17819,3/22/2019 11:53,2.942568295
WM_1759,11/13/2018 16:23,2.468447232
WM_27254,6/16/2019 12:13,4.551752771
WM_14482,2/20/2019 17:53,5.325483172
WM_40277,9/23/2019 5:03,3.77899483
WM_23364,5/17/2019 4:43,5.732110416
WM_35071,8/14/2019 2:53,8.376168079
WM_1240,11/9/2018 20:43,4.72106476
WM_193,10/30/2018 5:43,8.035859555
WM_31417,7/16/2019 15:23,7.597260878
WM_37853,9/5/2019 2:13,6.457819845
WM_34415,8/9/2019 12:13,2.700111011
WM_20130,4/22/2019 5:03,3.042010379
WM_36985,8/28/2019 1:13,3.29851483
WM_32816,7/29/2019 2:53,7.961657563
WM_9659,1/15/2019 6:03,9.00180441
WM_34192,8/7/2019 22:13,6.130529296
WM_7124,12/28/2018 6:43,9.5056844
WM_35945,8/20/2019 18:33,5.446588711
WM_29448,7/2/2019 12:43,4.027694547
WM_26129,6/8/2019 7:53,2.9892768
WM_3566,11/29/2018 22:53,6.816117512
WM_1340,11/10/2018 15:23,3.16477985
WM_14304,2/19/2019 8:33,6.638844705
WM_22513,5/11/2019 4:33,4.8823148
WM_15672,3/1/2019 19:03,11.40790455
WM_28793,6/27/2019 17:53,1.94821992
WM_13683,2/14/2019 16:33,7.627994484
WM_8450,1/6/2019 15:23,8.46853275
WM_39606,9/17/2019 19:03,8.245599535
WM_33792,8/5/2019 1:43,8.375532811
